"","Androgen","EGFR","Estrogen","Hypoxia","JAK-STAT","MAPK","NFkB","p53","PI3K","TGFb","TNFa","Trail","VEGF","WNT"
"ASG002_BC3C_24H:E22",0.0147860050232694,0.751908683997285,0.301434120886905,0.416690817317398,-0.196400757496674,0.591087607832209,1.49520306325319,-0.328300871401097,0.593154001080479,-0.333356542092108,1.28103766248069,-0.827226231154461,0.126770774116504,-0.96726455972616
"ASG002_BC3C_24H:E23",0.730857045020039,0.291448638451289,-0.338773210579829,0.458864698915861,-0.291848848298866,0.44879785592785,0.723504666448985,-0.761363021834742,0.439755610198651,-0.48521211761614,0.839368560796088,0.274067534860928,-1.04652095298261,0.450142416295545
"ASG002_BC3C_24H:E24",-0.189085786894088,1.12646496891686,-0.20185712171029,1.17095209342307,-0.632595652126676,0.974731377935577,-0.354384570967281,-0.622671980756701,0.977914436529632,-0.0285379732527467,-0.204251473676754,0.399930022013565,0.526233843865634,-0.89690612674331
"ASG002_BC3C_24H:F01",-0.458942401428331,-0.472451190075343,-1.85508270645608,0.0979523708153254,-0.645638578679412,-0.675222481876851,-0.950976496085927,-0.195760974322509,0.450325902243868,0.955105697438293,-0.928685157605957,-1.76422885127,-0.577548684573346,-1.1360809663852
"ASG002_BC3C_24H:F02",0.355839790986506,-0.360969499876465,-0.717053576614709,0.511037214522287,-1.48783981770802,-0.423063841280797,-0.377424586324148,-0.562338674939612,0.891903914767104,-1.59593720922284,-0.607140651513891,0.145648155076771,0.590987102765417,-0.699335807948339
"ASG002_BC3C_24H:F03",-0.485299853224481,-0.114182888920019,0.203842888234414,-0.102973192709407,-0.429969986320212,-0.646956112906989,-1.77130664288227,-0.797601150562933,0.590277310327208,-1.52665146461309,-2.06228353408451,-0.255870090923714,-0.825342278224248,0.305504515098361
"ASG002_BC3C_24H:F04",-3.70395260572345,-1.89825579342032,1.56709491753525,1.90200115152941,-1.82107958809296,-2.57907416239468,-1.38958953567443,-3.44738827516075,-1.75982785992618,-1.78335953970141,-0.394605931795114,-3.38975454893859,1.88392959316421,2.50578486609574
"ASG002_BC3C_24H:F05",0.505427219551411,0.398576644767515,-0.183463177721006,0.565613752929635,-0.291743065671399,0.219364229474454,-0.664354741345034,-1.11991177566901,0.264414375636561,-0.507470181227724,-0.813860803659729,-0.110433028743557,-0.17485429111994,-0.539559075360721
"ASG002_BC3C_24H:F13",0.418912752354987,0.532147466200768,-0.778901267439927,-0.868262802876485,-0.888542110581943,0.647767865077507,-0.710675982768396,-0.743859269568013,0.18612020151976,-0.836554147406582,-1.24714059576406,0.358465310192361,-2.01298341965565,-0.783309321676695
"ASG002_BC3C_24H:F14",1.69493610033479,1.97198352461305,-1.66824220008318,-0.813817869957016,-0.2161228026198,1.47960284516018,0.182840835234062,-0.570918934089072,1.67250220946465,-0.5111202720482,0.112865198257505,1.71500111336933,-1.34486596029575,1.67890968568659
"ASG002_BC3C_24H:F15",0.523021315989253,0.912240789212221,-0.186909300299837,-1.03900548687207,-0.380466797473674,1.3387105876101,0.160406887614735,-1.36638114064219,1.42103597308071,-1.63496600585447,0.123017792621062,-0.171775887953306,-0.382362032098636,1.16047923620084
"ASG002_BC3C_24H:F16",0.322980064213482,-2.19252250659921,-0.925274559272117,-1.12787696020884,-0.36438529506468,-1.96044273316271,0.186565388688578,0.651616847626974,-0.573935043490542,-0.819941475251708,0.0485261727566204,0.479446548209245,-1.89925060366564,-1.48373501093859
"ASG002_BC3C_24H:F17",0.947675388614687,-1.94514851862017,-0.701726579683459,1.33032431467661,-0.749595870673116,-2.47870857606104,-0.663225774192644,0.668091604198934,-0.400560910858917,-0.167967314708139,-0.582850267113585,0.737361011294338,-0.498968798927233,0.70783285170867
"ASG002_BC3C_24H:F18",0.531644488971922,-0.44354626634492,-0.911132697514046,0.191915578505777,-0.19925197982884,-0.879700440287879,0.0412441510625098,-0.115660156641212,0.512701455536023,-0.698469546864236,-0.143884317116887,0.125557577601385,-1.68716333030341,1.13749833434744
"ASG002_BC3C_24H:G01",-0.279526706573319,-0.319963431298572,0.359756200938065,0.590715850542017,1.20587892226376,-0.269017512756193,-0.544276174230473,-1.49875985287685,-0.225256913921478,2.23661105225776,-0.501988751285401,-2.27355519066304,1.37984478339898,1.26046199920677
"ASG002_BC3C_24H:G02",0.81324994839443,1.60941308367426,1.52294125421371,0.444058070661328,1.44955651669665,0.558435528136027,1.35816142616048,1.06139799782548,0.675863337235022,2.20780595765156,1.05601820027396,-0.265431949158209,0.0413214095702722,-0.136468344085534
"ASG002_BC3C_24H:G03",-0.30526684478884,0.21505864143896,-1.03828803960643,0.354581451834009,0.314220525732488,-0.00259414419660363,0.599581263258766,0.196163555346463,1.0331432293227,-0.0147601917710768,0.434571011264935,-1.14113771568079,1.38475612913071,0.99253324742895
"ASG002_BC3C_24H:H16",0.291254029349374,-0.890814957182799,-0.495483091150762,-0.489154177125442,-0.612155083417124,-1.39365146612358,-0.459377614920418,0.8773677707826,-0.663125851315724,-0.406919328282456,-0.770690191238483,0.0383685388415489,-0.490567519961106,-1.41707948937302
"ASG002_BC3C_24H:H17",2.16247372527288,-0.86263239967134,-1.61987465885804,0.360272753468691,-0.627124037473632,-0.866551201551978,-0.247662210742716,0.205715564603496,-0.577861904642005,1.02740304259371,-0.652284395463527,0.890769032984879,-1.13182067793538,0.0316947298157236
"ASG002_BC3C_24H:H18",-0.279352874537051,-0.0352870555994232,-1.01151700324434,-0.51896789933491,0.479626523302711,-0.178162876108436,0.460928813227498,-0.454343553853074,0.330930787248246,-1.66040465401995,0.269804125839235,-0.0634145060442473,-1.29820357395266,-1.68947354723301
"ASG002_BC3C_24H:I05",0.773575848803541,0.437111324366392,0.0600089166119218,0.098997953363187,-0.225464728374756,0.241912891715932,0.469493093219508,-0.165564193608753,0.339503464077296,0.363905290509614,0.347366264187848,0.187719205109391,0.358479028532157,-1.14011106352378
"ASG002_BC3C_24H:I06",0.162473834464892,0.505946191303286,0.368333164387348,0.0469557113928539,-0.00831500434688473,0.474649446058854,-0.622597475197462,-0.907925144479866,0.511882008820346,-1.24226493254274,-0.72428881318474,-0.263584719526395,0.0912892662752531,0.476280920030722
"ASG002_BC3C_24H:I13",1.63816959300195,0.292985588261971,0.79561420643273,0.709041844529664,-0.553231845238804,0.329877494941093,-0.613990240936773,0.221562848235847,-0.899429058499405,-1.36193997972517,-0.718153565245945,0.749422402306726,-0.114028510594521,-1.10885288226384
"ASG002_BC3C_24H:I14",1.33786095337641,-0.526487547846549,0.87215004788169,-0.994492716875312,-0.896392084089219,-0.818131194115345,0.0705162519225671,0.397587477666833,-0.359395743692035,-0.829881445993958,0.232060017345224,0.236708294382927,-1.94004931383383,0.0266841141980611
"ASG002_BC3C_24H:I15",0.574734836526528,0.337209709606192,0.0871565472410119,-0.163526257723458,-0.559785285595075,0.0355826882595343,-0.0918868419117422,-0.49002884682925,0.44075438858662,-0.96618635007155,-0.194296640623854,1.55761183422016,-0.710763878628982,0.112508564292646
"ASG002_BC3C_24H:I19",-2.5663892398171,-0.484167268588215,1.22013057118281,1.20435636508529,-1.32894129263814,-0.974270077692368,-2.03724766111668,-3.56847063895855,-0.102502624007387,-2.20096657609787,-1.62239594567567,-2.1771716711169,2.37756333527213,3.74588003223766
"ASG002_BC3C_24H:I20",-0.237625077886564,-2.15569576135563,-1.08112630938536,-0.516001128638536,-0.35547322665854,-2.47211041169581,-1.03404322699999,0.923773171200858,-0.449076118779237,-0.13141402036799,-1.24611962450769,0.786037106451341,-0.99309275742103,-1.72138506125072
"ASG002_BC3C_24H:L01",1.24712104865843,1.59213896873215,-0.38451772413457,1.01215177526888,-1.51093434601703,1.74556352516551,0.821278313785309,0.221424574682218,1.29689543089555,-0.0880550197263662,0.786508579887587,-1.33686694663523,1.30450015840075,-0.230788197400863
"ASG002_BC3C_24H:L02",0.546150918383558,0.627923243269632,0.544419895789945,1.23640100964827,0.155250539959191,0.287034798579071,-1.36099065785339,0.414919286317884,1.64092054672845,1.39960065855633,-1.51461657622231,-2.47836909200153,-0.703023959355886,-0.0756948947096061
"ASG002_BC3C_24H:L03",-0.0841890977497716,-0.44133520446208,-0.8363865108057,0.504656850427378,-0.107861088611671,-0.279508463900709,-2.10551555605604,-0.475365607713232,1.14739102666364,0.188090914599574,-2.40974076788365,-1.75981488385197,-0.784494928586763,1.67063240628005
"ASG002_BC3C_24H:L07",-1.61490969617713,-0.0525265709743418,-0.748010292393047,0.424949294246197,-1.0738218881974,0.164996758179469,-1.75715748426532,-0.491632188700265,-1.1949496731036,-0.0424637984787944,-1.59017905857366,-1.7076219292693,0.431371623108948,1.40292177831643
"ASG002_BC3C_24H:L08",-0.302976260573132,-0.0242762042354157,-0.25347263529178,-0.0839858534182158,-0.473075872690451,0.504379001099623,-1.51365586108152,-0.721580678811225,-0.900124773832103,-0.497805934970134,-1.56058355350465,0.168056852183332,-0.1603247802826,-1.09295165620853
"ASG002_BC3C_24H:L09",0.0958133173516608,0.113548609561421,-0.0164474423375328,-0.373257601196046,0.0630822592237849,0.298647149248014,-0.511846698196098,0.0318084601079684,0.727838128417356,-0.768159180958047,-0.331203545465252,-0.53356549057636,0.0929748553307399,0.771547856521832
"ASG002_BC3C_24H:L16",0.529956981139153,0.672126577890103,0.209159516369994,-0.165530150170044,-0.583893943505118,0.449262026205793,1.23530885920964,0.196098984146322,0.241521462571618,-0.785606609091463,1.43812933956648,0.559825241746178,-0.230364426396679,-0.32510805071619
"ASG002_BC3C_24H:L18",0.853036628685285,0.566967449984988,0.321978444114572,0.068035456466368,-0.473982265746111,0.28630431126548,-0.671185900344962,-0.88334527188076,0.841988760546656,-1.58249394309656,-0.601459574227144,-0.276584419865168,-0.10836783697201,0.666227292176929
"ASG002_BC3C_24H:M22",-1.12514668664832,0.522443182634839,1.73341468224858,-0.396613006766172,-0.270375530320054,-0.296400077875988,0.519965893492173,0.114810395241654,0.286163053393468,0.0136006552695703,0.598943373716423,0.0398804615367528,-0.686203984589295,-0.857261604169727
"ASG002_BC3C_24H:M24",-0.316874774854284,0.820178501666139,-0.311059394853633,-1.01323374946312,-0.844240066403395,0.928501580347406,-0.155142186011852,0.209361366707283,0.47065031839331,-0.312294580323783,0.0331399486607412,0.712055210570392,-1.29643284677965,0.713495761399279
"ASG002_BC3C_24H:N13",1.23806192131174,1.3955095941199,1.29421768323546,-0.219896340253079,-0.597193333391001,1.53453934813966,1.03279705375091,-0.947060677698762,1.55750046510619,-1.85735422337759,0.940105540321113,-1.70179786919041,1.49843204504414,1.50029121029126
"ASG002_BC3C_24H:N14",-0.0909794302373996,0.680908871880881,0.0366965264485835,-0.362712766289935,0.319824431742468,0.973347126098858,1.17376574235684,-0.33944534018715,0.896007341437986,-1.32091723832204,1.09144206195763,-0.730846477793104,0.422380480807452,0.324237195998972
"ASG002_BC3C_24H:N15",-0.50935562281748,0.651454400240928,0.576074219202183,0.464743050365404,-0.665904511861052,0.733888212054795,0.325845121567688,-0.505831010316014,0.620611718860185,-0.932966634647667,0.348612747006012,0.340791901231986,0.28838795041841,0.593908860920752
"ASG002_BC3C_24H:N19",0.228239604121879,-1.80646009292258,-1.50515091443165,2.79284391301551,0.276154378617776,-1.88077484341302,-0.5123800516761,1.04386698126948,-1.09370227087471,-0.856344693426543,0.0599037778592464,-0.157983793009957,-1.72174374618288,-0.45525941459589
"ASG002_BC3C_24H:N20",0.0501586518141284,-1.56131377597331,-0.62971542876752,0.604872433152361,0.610678263635774,-2.03014228051114,-0.352596709213825,0.0243648248345396,0.174934389857359,0.0536279400480273,-0.412588748399099,0.285643551314139,-0.332756977749108,-0.300493297625937
"ASG002_BC3C_24H:N21",0.536574031747978,-1.88899275361662,-0.560807351617765,0.671205783091668,-0.347729249171115,-2.30789017902078,-0.541953696520714,0.622792332600713,-0.133237461275493,0.95920172127788,-0.553567128036683,0.481847987107586,0.318734434650897,-0.487171967298435
"ASG002_BC3C_24H:N22",1.03777190624162,0.605655631377668,-1.03190219835821,0.893484451160916,-0.505165312333634,1.17849672536708,-1.48555935904427,-0.922907401444249,-0.126073326419291,-1.15336180027086,-1.18100108893906,-0.347994946392816,0.545917091476918,1.01932612260673
"ASG002_BC3C_24H:N23",0.417399387795343,-1.63790908347895,-0.746788337671307,0.142391361226461,-0.489928265516578,-1.9310118937724,-0.515991806009968,0.163648822902489,0.284416182230556,-0.0360276791827895,-0.587233664471971,0.559086317593759,0.628975929121481,-0.272393756932604
"ASG002_BC3C_24H:N24",1.21817517332969,0.358566281104298,-0.737396141037766,-0.897721161017743,-1.18026617077682,0.522838557046865,-0.37167314814141,0.202531025619553,-0.173083809311686,-0.69168410369538,-0.483806413864503,1.02457553964945,-0.924412467019292,1.03305026525934
"ASG002_BC3C_24H:O10",0.704427736992636,1.24077389001921,0.92288041865208,0.37258637515641,-0.342265741764379,1.24460486677354,0.982722198186255,-0.411343546608673,0.38952094484395,-1.12559631698966,0.959109480753319,0.114197905962214,0.0390362177182103,0.677554150242977
"ASG002_BC3C_24H:O11",1.02462930178291,0.364931132076778,0.570679790081464,0.216028688936931,-0.135153234493274,0.608540185549786,-0.635763896285026,-0.123024321164012,0.920219483578827,-0.319032349645629,-0.821575497237096,0.289641417793566,-0.368055467366727,0.546639353013572
"ASG002_BC3C_24H:O12",-0.253796985528556,0.144527600884533,-0.24740681716113,-0.145521524799217,0.0920969935187137,-0.16786313791548,-0.706751297383918,-0.615451493451042,1.33737750626859,-0.229294904593836,-0.730821249534232,0.0176718897782648,-0.00570221957769404,0.434131089648306
"ASG002_BC3C_24H:O22",-0.0178525148968005,0.77204450221009,-0.00462528050790419,0.0714417883885148,-0.743658501214476,0.651041063769414,0.195483411743729,-0.572617915722235,1.00433647302407,0.220724432466888,0.325293567743939,-0.709513745143678,-1.16288708459499,0.314435127262678
"ASG002_BC3C_24H:O23",-0.0899262280290794,0.390869312874103,0.190173383438349,0.139370411526116,-0.816907599610868,0.870070147567807,0.0899868849406657,-0.694717658302511,1.03814235891644,-0.265644968404957,0.201786421758339,0.337244787361241,-0.303995963948462,-0.433477155035771
"ASG002_BC3C_24H:P07",0.303310556578721,2.90601221928043,3.610754604888,0.783853521855141,1.42672442799602,2.88133240415846,1.68123898010485,0.682539286166861,0.154618674442099,1.88990252124821,0.971531271644788,-0.780547820004936,2.63163476211358,-0.345148435817185
"ASG002_BC3C_24H:P08",1.26446477573445,1.4469258696997,2.29433205815191,1.17030990633274,0.942123675634699,1.07372802848432,1.01587480519699,1.26035288425775,-0.358906222395784,1.08379626992439,0.762960809420175,0.63683723436219,2.00008607753706,-1.4970229059628
"ASG002_BC3C_24H:P09",0.690122392252618,0.539822403489433,-0.601037077823626,-0.323144889543967,1.23059246453516,0.51774333420316,1.89067028849268,0.54984845589888,0.872042341376437,0.619009521847626,1.71333240307895,0.443123860970375,2.06546639500929,-0.48640957263356
"ASG002_BC3C_24H:P16",1.12647486226208,1.23097418117169,0.0189825090955316,2.16148503464385,-0.558584224097588,1.3693319607109,1.24830615459583,0.238271007797772,-0.409597854353272,0.5502280353127,1.22381324095327,-0.245185036568756,-0.644503489886002,-2.70204687883557
"ASG002_BC3C_24H:P17",0.966465406812805,1.00419289709555,-1.02187745910006,0.712180284400734,0.0897948039516603,0.815615834624394,0.697835621289369,0.15670996763682,0.933147157459732,1.24048608347431,0.997167045006211,-0.280100810044935,0.910588626711741,0.333385931977493
"ASG002_BC3C_24H:P18",0.545795844572291,0.196015909859389,0.196087564090008,-0.03242579865351,-0.0896226385356695,0.269194714969358,-0.636541573658803,-1.00246424093035,0.8862423320355,-0.00680083464099353,-0.650721982687709,-0.223268662070069,-0.178825440694034,-0.194411377300986
"ASG002_BC3C_24H:P20",2.53609874423458,1.20113944110242,0.856810178491977,1.8911342771765,2.55314217110595,0.5677664144528,1.1226605213608,0.820610901962646,-1.19162273944031,0.260341143968515,1.35669876432872,-0.841549738456027,1.93793739006793,1.03533641056914
