Genes,DPD_BL,DPD_onc,DPD_risk,DPD_T2,DPD_Ta,DPD_immuno,DPD_immuno_0
ASAH1,0.0,0.0342970260327474,0.0,0.0,0.0,0.0,-0.029496742048133965
ASCC3,0.0,-0.0259922176788624,0.0,0.0,0.0,0.0,0.02596366034995519
ATF1,0.0,-0.0175477754169713,0.0,0.0,0.0,0.0,0.06586380033942525
ATF5,0.0,-0.0125617577030095,0.0,0.0,0.0,0.0,0.031276038370217654
ATF6,0.0,-0.0157536000166591,0.0339586977662736,0.0,0.0,0.0,-0.04884267101262376
ATG3,0.0,-0.0188830582272773,0.0,0.0,0.0,0.0,-0.031125473223811345
ATMIN,0.0,0.0276160640255333,-0.048417469911558,0.0,0.0,0.0,0.028101751866589607
ATP11B,0.0,0.0164814828001313,0.0,0.0,0.0,0.0,0.01935885443311982
ATP1B1,-0.0046134590368246,0.025740369962605,0.0292158856219017,-0.0046134590368246,-0.0783393821416665,0.0,-0.033277064303700185
ATP2C1,0.0,-0.0115623032728372,0.0,0.0,0.0,0.0,-0.01976864240273035
ATP6V0B,0.0,-0.0157718910242643,0.0,0.0,0.0,0.0,0.038252624334768434
ATP6V1D,0.0,-0.0258754327334051,0.0,0.0,0.0,0.0,-0.0007388761370001178
AURKA,0.101978067504962,0.00506397690175886,0.0392252713850061,0.101978067504962,0.0891538786317352,0.0,-0.029045964468994212
AURKB,0.127878451438269,-0.0519091341813424,0.0,0.127878451438269,0.108908929305691,0.0,-0.012023255034892285
AXIN1,0.0,0.0428615974600121,0.0,0.0,0.0,0.0,0.08999772228154748
B4GAT1,0.0,-0.0184146764726147,0.0,0.0,0.0,0.0,0.030749488503429713
BACE2,0.0,-0.0045305836478315,0.0,0.0,0.0,0.0,0.037809991094957925
BAD,0.0,0.0266022603968395,0.0,0.0,0.0,0.0,-0.013161813473386985
BAG3,-0.0219844052846378,0.0341822266265406,0.0124448476617386,-0.0219844052846378,0.0612597535235438,9.14206091661366e-05,0.038699109200255856
BAMBI,-0.028856966382892,-0.0246703970150873,0.0,-0.028856966382892,0.00189722265800433,0.0,-0.020862613399715232
BAX,0.0,-0.0112618467514242,0.0,0.0,0.0,0.0,-0.03218433945830148
BCL2,0.0,-0.00434552962092583,0.0,0.0,0.0,0.0,-0.0075219910040893595
BCL7B,0.0,0.01280851138529,-0.00756739130509926,0.0,0.0,0.0,0.0025213879470118213
BDH1,0.0,-0.0283782627193139,-0.0785816734224982,0.0,0.0,0.0,-0.01386030300414963
BECN1,0.0,0.00745269504984841,0.0,0.0,0.0,0.0,-0.060892134797716824
BHLHE40,0.0279696011352129,0.0236030529201588,0.0,0.0279696011352129,0.010074863542188,0.0202983111019487,0.04766161410837468
BID,0.0,-0.0211606985748348,0.0,0.0,0.0,0.0,-0.0606568370441712
BIRC2,0.0,0.0175992141519015,0.0,0.0,0.0,0.0,0.032020879243203446
BIRC5,0.170715612340314,-0.0225515761829038,0.0,0.170715612340314,0.175265664189305,0.0,-0.008435520727821177
BLCAP,0.0,-0.0236277844749251,0.0,0.0,0.0,0.0,-0.0005284608519698841
BLMH,0.0,0.0239545216972671,-0.00758523548763154,0.0,0.0,0.0,-0.0500340296874944
BLVRA,0.00335118016280713,-0.0184698951251708,0.0,0.00335118016280713,0.0578784114889605,0.0,-0.01647383786473417
BMP4,0.0,0.0609562992232363,-0.0998070924575116,0.0,0.0,0.0,-0.021702099348201803
BNIP3,-0.170442034909058,-0.0185099579618684,0.0,-0.170442034909058,-0.0185865627495227,0.0,0.04546933367171524
BNIP3L,0.0,-0.0172416924027979,0.0,0.0,0.0,0.0,0.03681684351574099
BPHL,0.0,0.00631446419551267,0.0306144765734099,0.0,0.0,0.0,0.024471092441500364
BRCA1,0.0,-0.0177329502976118,0.0,0.0,0.0,0.0,-0.0383804651193587
BTK,0.0,0.00983893003588405,0.0,0.0,0.0,0.0,2.3735893306484518e-05
BUB1B,0.0,-0.00348653849726512,0.0,0.0,0.0,0.0,-0.007808307617997038
BZW2,0.0,-0.011133299274971,0.0428225831378499,0.0,0.0,0.0,0.007435060297988442
C2CD2,0.0,0.00607152947468364,0.0,0.0,0.0,0.0,-0.035146990755908304
C2CD2L,0.0,-0.0836425947829935,0.0941391848813214,0.0,0.0,0.0,-0.026069543228789852
C2CD5,0.0,-0.0484443241510762,0.0,0.0,0.0,0.0,0.00622390426338955
C5,0.0,-0.000565878193007546,0.0,0.0,0.0,0.0,0.025310367427439157
CAB39,0.0,0.0165816845258098,0.0,0.0,0.0,0.0,-0.005818028149265117
CALM3,0.0138490894033332,0.0164103355113,0.0,0.0138490894033332,-0.0146411512848888,0.0,0.04287870362501898
CALU,0.0,0.0347295677715582,0.0,0.0,0.0,0.0,-0.005613345613219205
CAMSAP2,0.0,0.0135512385625812,0.0,0.0,0.0,0.0,-0.009967247534204898
CANT1,0.0,0.00917059748462679,0.0,0.0,0.0,0.0,0.002485554947586509
CAPN1,0.0,-0.0193850244207146,0.0,0.0,0.0,0.0,0.006063759187559277
CARMIL1,0.0,-0.00464986433090397,0.0,0.0,0.0,0.0,0.036505876364318166
CASC3,0.0,-0.0649154621420707,0.000688361952656329,0.0,0.0,0.0,-0.08933103259682022
CASK,0.0,-0.0374687173031363,-0.0472552287830142,0.0,0.0,0.0,0.009916927071727876
CASP10,0.0,0.0,0.0,0.0,0.0,0.0,0.017251147443527917
CASP2,0.0,0.0439661667909322,0.0,0.0,0.0,0.0,0.0654568204083648
CASP3,0.0,0.0170117488046716,0.0234826583230733,0.0,0.0,0.0,-0.05344736441678454
CASP7,0.0,0.0417491766261161,0.0,0.0,0.0,0.0,-0.033551741891056024
CAST,0.0,-0.000514342711157702,0.0389572182021148,0.0,0.0,0.0,0.020246583338572082
CAT,0.0,-0.0254057825755169,-0.00564382401185508,0.0,0.0,0.0,0.03763452852394926
CBLB,0.0,0.0605495778659827,0.0,0.0,0.0,0.0,0.026921945321949775
CBR1,0.0,0.00704903726385953,0.0,0.0,0.0,0.0,0.006942965075000925
CBR3,-0.0642232031708615,0.00767249106537105,0.0,-0.0642232031708615,0.0210685118580162,0.0,-0.014328132539294167
CCDC85B,0.0420317714831134,-0.0965807821324436,0.0,0.0420317714831134,0.0117597145969542,0.0,-0.007235918797465952
CCDC86,0.0,-0.0555082662216666,0.0,0.0,0.0,0.0,-0.02393350494759437
CCDC92,0.0,0.063056947516852,0.0279167245025682,0.0,0.0,0.0,-0.039569806379415845
CCL2,0.0305497392552277,-0.00591572331230653,0.0,0.0305497392552277,0.0705616323877738,0.0,0.0127313634485467
CCNA1,0.0,1.97603816807412e-06,-0.00930654665837022,0.0,0.0,0.0,0.0013102929653685505
CCNA2,0.17673382427338,0.0402727665023648,0.0,0.17673382427338,0.140482999325775,0.0,-0.011036485634307735
CCNB1,0.106996111517555,0.0320543770687933,0.0,0.106996111517555,0.108250114899492,0.0,0.0039021687829774786
CCNB2,0.106593564729606,0.071065316000434,0.0,0.106593564729606,0.149396420442992,0.0,-0.009341679352104391
CCND1,0.0329771950615916,0.0173922957657343,0.0,0.0329771950615916,0.0936639883499569,0.0,0.0009066492295065932
CCND3,0.0,-0.0130864604084775,0.0,0.0,0.0,0.0,-0.01293697199561106
CCNE2,0.0,0.026070899776049,0.0,0.0,0.0,0.0,-0.014273360595507698
CCNF,0.0,0.0235911412527987,0.0,0.0,0.0,0.0,-0.013030743207558466
CCNH,0.0,-0.0117639307821259,0.0328945104175679,0.0,0.0,0.0,0.02567823965587516
CCP110,0.0,0.0382613294605678,0.0,0.0,0.0,-0.0342412448069451,-0.07231948267130221
CD320,0.0,0.00821960630419978,-0.0010243308854113,0.0,0.0,0.0,0.0296572504399802
CD40,0.0782643732148457,-0.00233321380332104,0.0,0.0782643732148457,0.097685547669106,0.0,-0.013229909630005568
CD44,0.0,-0.00136727587888698,0.0,0.0,0.0,0.0,0.010731263282271386
CD58,0.0,0.0,0.0,0.0,0.0,0.0,0.05031584181676011
CDC20,0.150236328967853,-0.0131693993465818,0.0,0.150236328967853,0.192376953403567,0.0,-0.0016899050482668415
CDC25A,0.0,-0.0387597116288602,0.0,0.0,0.0,0.0,-0.0016043691701968627
CDC25B,0.0,-0.0418121426217855,0.0,0.0,0.0,0.0,-0.017410228184335314
CDC42,0.124952318063934,0.0242231297290257,0.0,0.124952318063934,-0.0387776744501835,0.0,-0.029981538387457228
CDC45,0.0,0.0449657204761611,0.0,0.0,0.0,0.0,-0.023691905950731115
CDCA4,0.0,0.001532722727494,0.0,0.0,0.0,0.0,0.0063607343424832985
CDH3,0.0,0.0484222834468661,0.0,0.0,0.0,0.0,0.012672155738884397
CDK1,0.137684537435254,0.019881777849047,0.0,0.137684537435254,0.143860504198859,0.0,-0.0006383985461724101
CDK19,0.0,0.00280508122467776,0.0,0.0,0.0,0.0,-0.0035213370198842594
CDK2,0.0,0.015531960371567,0.0,0.0,0.0,0.0,-0.011993394425280864
CDK4,0.107353480798639,0.00321549853601015,0.0,0.107353480798639,0.103339425857135,0.0,-0.007546856589477286
CDK5R1,0.0,-0.0679918460456451,0.0690454558706179,0.0,0.0,0.0,0.004521853794639547
CDK6,0.0,0.037080355451595,0.0107458251253074,0.0,0.0,0.0,0.020017195685193008
CDK7,0.0,-0.0133064365577527,-0.00833281829687612,0.0,0.0,0.0,0.034342843893769646
CDKN1A,-0.0225419806490618,0.0992648920080074,0.0,-0.0225419806490618,-0.0112234940220687,0.0,0.02040474351935065
CDKN1B,0.0,0.000599556195009467,-0.00730927375763736,0.0,0.0,0.0,0.007758504663362159
CDKN2A,0.203172287515232,0.0726846853297363,0.0,0.203172287515232,-0.106129721931921,0.0,-0.008173136106091433
CEBPA,0.0,0.0030391454284241,0.0,0.0,0.0,0.0,-0.007410404447388174
CEBPD,-0.0195966994033401,0.0620405236908181,0.0,-0.0195966994033401,0.0422084099046558,0.0,0.02379100197730001
CEBPZ,0.0,-0.0230007706532402,2.27879011555689e-06,0.0,0.0,0.0,0.06113373845358865
CEMIP2,0.0,0.0,0.0,0.0,0.0,0.0,-0.03627216325112704
CENPE,0.117675280370869,0.0188196235087453,0.0106824933468461,0.117675280370869,0.167133043892823,0.0,-0.008056585960146332
CEP57,0.0,0.0142939660904904,0.0122019063810908,0.0,0.0,0.0,-0.03689555807441224
CERK,0.0,-0.00861882367079779,0.000594774342237072,0.0,0.0,0.0,-0.02187221596432703
CETN3,0.0,-0.0139191903237177,0.0,0.0,0.0,0.0,0.008688757466357534
CFLAR,0.0,0.0309105387936818,-0.0483511303505539,0.0,0.0,0.0,0.003909546946502268
CGRRF1,0.0,-0.0236477574023536,0.0,0.0,0.0,0.0,-0.02582543535049033
CHAC1,-0.00221697116887604,0.0620892641345636,0.00624371474061469,-0.00221697116887604,0.0317667308485147,0.0,-0.010047561091517667
CHEK1,0.0,0.0749662268102944,0.0,0.0,0.0,0.0,0.009205279408882836
CHEK2,0.0,-0.00226596070720598,0.0,0.0,0.0,0.0,-0.004268346028965464
CHERP,0.0,0.0270969297123145,0.0,0.0,0.0,0.0,0.06020729026132455
CHIC2,0.0,-0.031823526628643,0.0,0.0,0.0,0.0,0.041402442903220905
CHMP4A,0.0,0.0,0.0566892182996445,0.0,0.0,0.0,-0.01961527989148282
CHMP6,0.0,-0.0213773504318093,0.0,0.0,0.0,0.0,-0.004596534310493828
CHN1,0.0336797448907973,-0.047472744119126,0.0,0.0336797448907973,0.0525350865012927,0.0,-0.04129162930443567
CHP1,0.0428739137096149,-0.0297851231989253,0.0,0.0428739137096149,-0.084802896054418,0.0,0.0173631699511948
CIAO3,0.0,0.0,0.0,0.0,0.0,0.0,-0.014915888665424957
CIAPIN1,0.0,-0.0155321116925243,0.0,0.0,0.0,0.0,0.04084817700105952
CIRBP,0.0,-0.0613810513653248,0.0,0.0,0.0,0.0,-0.0038452245307779563
CISD1,0.0,-0.018861445494658,0.0,0.0,0.0,0.0,0.016567989196455718
CLIC4,-0.0556317530875986,-0.0338791638092752,0.0,-0.0556317530875986,0.0163379085112675,0.0,0.002082908790521676
CLPX,0.0,0.0091881185739657,0.0,0.0,0.0,0.0,0.03015994313112311
CLSTN1,0.0,0.0172486859030035,0.0,0.0,0.0,0.0,-0.028556860880936747
CLTB,0.00561548081214945,-0.016293302042458,0.0920171337519787,0.00561548081214945,0.00811516977436344,0.0,-0.010333400643095925
CLTC,0.0,0.0347762394524938,0.00690886831392594,0.0,0.0,0.0,0.028356696320283956
CNDP2,0.0,0.0364058748425209,0.0150773634218145,0.0,0.0,0.0,0.014572338572824799
CNOT4,0.0,-0.00562633041000507,0.0,0.0,0.0,0.0,-0.0006977989738966107
CNPY3,0.0,0.00675072619359828,0.0112646981544793,0.0,0.0,0.0,-0.025488592839646013
COASY,0.0,0.0441793775993469,0.0,0.0,0.0,0.0,0.0023306096027329677
COG2,0.0,-0.0553752251343973,0.0,0.0,0.0,0.0,-0.03142822843833435
COG4,0.0,0.0106580937798559,0.0425215958824918,0.0,0.0,0.0,0.02463986498067616
COG7,0.0,-0.0284266350069357,0.00894334345889905,0.0,0.0,0.0,-0.005675697534506816
COL1A1,-0.00312941537182571,-0.21492941639182,0.0,-0.00312941537182571,0.0594714757140484,0.0,0.004762455337573334
COL4A1,0.0,0.0129348645203481,0.046097638745165,0.0,0.0,0.0,0.004420305291538833
COPB2,0.0,0.026122669979254,0.0,0.0,0.0,0.0,-0.025663268740167666
COPS7A,0.0,0.000176727791347764,0.0,0.0,0.0,0.0,0.011068200649529642
COQ8A,0.0,-0.0133244952401855,0.0,0.0,0.0,0.0,0.004174512511015705
CORO1A,0.0210121285350368,-0.0591408136243774,0.0,0.0210121285350368,0.0251436536321499,0.0,-0.02299308966986916
CPNE3,0.0,0.00883280302033737,0.0,0.0,0.0,0.0,-0.024402059682676062
CPSF4,-0.0220557740027921,0.043651443449689,0.0,-0.0220557740027921,0.0158140463257725,0.0,-0.003801575054591621
CREB1,0.0,-0.0216624991302025,0.0,0.0,0.0,0.0,-0.004004402972973328
CREG1,0.063332720192757,-0.0130117740481331,0.00836729583513937,0.063332720192757,0.0187330625786304,0.0,-0.0252810350681067
CRELD2,0.0733589725749511,0.00923411135406858,0.0,0.0733589725749511,0.0639124683600705,0.0,5.756314549584711e-05
CRK,0.0,0.0163174219807435,0.0,0.0,0.0,0.0,0.02332783234376971
CRKL,0.0,0.0171576444218683,-0.00641479695159468,0.0,0.0,0.0,0.009564696959957035
CRTAP,0.0,0.0327764972342104,0.0,0.0,0.0,0.0,0.02258235579766825
CRYZ,0.0,-0.0173282700760659,0.0,0.0,0.0,0.0,0.004073908603862378
CSK,0.0,-0.0291640223580326,0.0,0.0,0.0,0.0,0.031186076092498766
CSNK1A1,0.0,0.0289170825135352,0.0,0.0,0.0,0.164750349477479,0.1099262887675677
CSNK1E,0.0,-0.00523788083790448,0.0,0.0,0.0,0.0,-0.005616753295993944
